,manufacturer,main_type,built_year,first_registration_date,has_all_wheel_drive,horsepower,handover_key_count,length,width,height,mileage,kw,price,evaluation_datetime,fuel,gear,ac,gps,color
14,BMW,5,  2007_year ,2007-02-01,,161.0,2,3651.0,2078.0,1635,388932.0,118.0,2182,2018-06-14 17:53:33,Diesel,Manual,Manual,Big,red
15,Honda,911,  2008_year ,2008-02-19,,108.0,2,3747.0,2391.0,1397,57372.0,79.0,2770,2018-10-01 14:13:09,Diesel,Manual,,,brown
16,Hyundai,A-Klasse,  2003_year ,2003-12-17,,156.0,3,3522.0,2004.0,1525,194577.0,115.0,1936,2018-07-23 16:54:56,Benzin,Auto_or_Hybrid,Auto,Big,beige
17,Citroen,500,  2012_year ,2013-01-22,,139.0,2,3904.0,1966.0,1429,60040.0,102.0,16545,2018-06-28 11:45:19,Diesel,Manual,Auto,Big,purple
18,Honda,A3,  2004_year ,2004-12-27,,97.0,2,3690.0,2012.0,1373,113301.0,71.0,1625,2018-05-13 16:28:28,Benzin,Manual,Auto,,silver
19,Kia,A4,  2006_year ,2006-05-22,,156.0,2,3479.0,2185.0,1411,147659.0,115.0,3242,2018-10-17 14:50:24,Benzin,Manual,Auto,Big,red
20,Land Rover,A5,  2009_year ,2009-02-05,,139.0,1,3661.0,2153.0,1436,280742.0,102.0,6192,2018-07-16 13:43:34,Diesel,Auto_or_Hybrid,Auto,Big,red
21,Kia,A6,  2006_year ,2007-06-14,,246.0,1,3670.0,2099.0,1449,120249.0,182.0,3844,2018-08-14 15:50:33,Benzin,Manual,Auto,Big,purple
22,MINI,Astra,  2012_year ,2012-02-22,1.0,199.0,2,,1793.0,1365,99974.0,147.0,18752,2018-07-08 13:35:43,Diesel,Manual,Auto,Big,red
23,Audi,Avensis,  2011_year ,2011-03-23,,197.0,2,3789.0,2102.0,1548,222649.0,144.0,5443,2018-06-27 15:41:44,Diesel,Manual,Auto,Big,brown
24,Citroen,B-Klasse,  2003_year ,2003-07-23,1.0,193.0,2,3555.0,2289.0,1712,347720.0,141.0,2315,2018-07-07 15:34:45,Diesel,Auto_or_Hybrid,Auto,,brown
25,Fiat,C-Klasse,  2001_year ,2001-07-24,,171.0,1,3607.0,2364.0,1406,303212.0,126.0,1071,2018-09-13 12:02:52,Benzin,Auto_or_Hybrid,Auto,Big,purple
26,Land Rover,C-Max,  2011_year ,2011-10-26,1.0,186.0,2,3897.0,2079.0,1423,74158.0,137.0,9956,2018-05-12 17:44:29,Diesel,Manual,Manual,,purple
27,Mazda,C4,  2010_year ,2010-12-16,,119.0,2,3710.0,2201.0,1695,69876.0,87.0,5380,2018-09-14 16:39:42,Benzin,Manual,Manual,,beige
28,Fiat,C5,  2009_year ,2009-11-09,,141.0,2,3745.0,2032.0,1464,389195.0,104.0,5550,2018-10-23 18:20:07,Diesel,Auto_or_Hybrid,Auto,Big,red
29,BMW,CR-V,  2004_year ,2005-03-01,,131.0,1,3530.0,2113.0,1485,122801.0,97.0,2216,2018-09-27 14:24:55,Benzin,Manual,Auto,,brown
30,Mercedes-Benz,Caddy,  2009_year ,2009-06-02,,40.0,2,3491.0,2044.0,1542,109356.0,30.0,3729,2018-07-09 17:58:50,Diesel,Auto_or_Hybrid,Auto,,purple
31,Land Rover,A5,  2008_year ,2008-04-28,1.0,263.0,2,3739.0,1951.0,1427,68324.0,194.0,10540,2018-08-16 12:24:03,Benzin,Auto_or_Hybrid,Auto,Big,brown
32,Audi,Avensis,  2002_year ,2002-09-20,,175.0,1,3508.0,2091.0,1441,126269.0,129.0,1967,2018-07-03 10:23:39,Benzin,Manual,Auto,,red
33,Land Rover,A5,  2007_year ,2007-07-11,1.0,167.0,2,3663.0,2188.0,1428,167549.0,123.0,5096,2018-05-23 12:38:34,Benzin,Manual,Auto,,red
34,Land Rover,Civic,  2003_year ,2003-04-29,,126.0,2,3734.0,2238.0,1452,262693.0,93.0,2969,2018-06-27 13:12:02,Diesel,Manual,Front,Big,purple
35,BMW,CR-V,  2004_year ,2005-01-14,,71.0,2,3678.0,2411.0,1485,94412.0,52.0,2584,2018-06-18 15:47:25,Benzin,Manual,Manual,,purple
36,Land Rover,Clio,  2014_year ,2014-10-15,,151.0,2,4280.0,1802.0,1391,48547.0,111.0,19968,2018-09-29 11:12:31,Benzin,Auto_or_Hybrid,Auto,Big,red
37,Fiat,Corsa,  2005_year ,2005-07-01,1.0,158.0,2,3635.0,2225.0,1820,91345.0,116.0,4403,2018-07-29 12:59:32,Diesel,Auto_or_Hybrid,Auto,Big,silver
38,Nissan,Duster,  2004_year ,2003-11-14,,81.0,2,3561.0,2361.0,1440,130519.0,59.0,2084,2018-05-11 18:38:53,Benzin,Manual,Manual,,red
39,Kia,E-Klasse,  2010_year ,2010-11-18,,150.0,2,3695.0,2163.0,1615,61388.0,110.0,6653,2018-07-16 11:24:27,Benzin,Manual,Manual,Big,silver
40,Mercedes-Benz,Caddy,  2000_year ,2000-04-25,,50.0,1,3457.0,2128.0,1529,64972.0,37.0,816,2018-09-14 15:49:08,Benzin,Auto_or_Hybrid,Manual,,red
41,BMW,CR-V,  2004_year ,2004-03-29,,100.0,2,3497.0,2079.0,1485,73710.0,74.0,4110,2018-06-20 10:22:38,Benzin,Auto_or_Hybrid,Auto,,red
42,Fiat,C-Klasse,  2009_year ,2009-06-30,,188.0,2,3917.0,1867.0,1447,20499.0,137.0,9729,2018-09-21 11:18:07,Benzin,Auto_or_Hybrid,Auto,Big,brown
43,Citroen,500,  2012_year ,2012-09-28,,118.0,2,4010.0,2007.0,1429,102935.0,87.0,11508,2018-06-02 16:55:48,Diesel,Manual,Auto,Big,beige
44,Kia,Evoque,  2009_year ,2009-07-28,,100.0,2,3489.0,2320.0,1488,197674.0,73.0,2193,2018-05-15 16:14:39,Benzin,Manual,Manual,,white
45,Citroen,Fabia,  2011_year ,2011-03-15,,153.0,2,3680.0,1884.0,1573,106218.0,113.0,11701,2018-09-15 16:44:47,Benzin,Manual,Auto,Big,red
46,Ford,6,  2011_year ,2011-04-05,,105.0,2,3769.0,2055.0,1480,127987.0,76.0,4103,2018-08-31 14:59:50,Benzin,Manual,Auto,,red
47,Kia,Fiesta,  2006_year ,2006-11-16,,164.0,2,3515.0,2306.0,1645,219424.0,120.0,2268,2018-10-09 14:07:47,Diesel,Auto_or_Hybrid,Auto,Big,brown
48,Opel,Focus,  2014_year ,2014-09-30,,91.0,2,3888.0,2241.0,1448,46944.0,67.0,7969,2018-09-13 15:18:56,Benzin,Manual,Manual,Big,black
49,Peugeot,Golf IV,  2010_year ,2010-07-29,,100.0,2,3855.0,2094.0,1645,117350.0,73.0,7286,2018-07-12 10:32:33,Benzin,Manual,Auto,,white
50,Citroen,207,  2008_year ,2008-06-03,,201.0,2,3792.0,2286.0,1491,275539.0,148.0,3751,2018-06-08 19:00:49,Diesel,Manual,Auto,Big,red
51,Kia,Evoque,  2001_year ,2001-10-24,,65.0,2,3516.0,2200.0,1440,170873.0,48.0,333,2018-07-28 15:13:47,Benzin,Manual,,,purple
52,Porsche,Golf Plus,  2010_year ,2010-07-08,,68.0,2,3723.0,2031.0,1488,109882.0,49.0,5114,2018-05-05 12:49:07,Benzin,Manual,Manual,,white
53,Citroen,500,  2012_year ,2013-03-21,,174.0,2,4052.0,1923.0,1429,62838.0,127.0,21306,2018-06-10 16:19:25,Benzin,Auto_or_Hybrid,Auto,,black
54,Nissan,Duster,  2008_year ,2008-03-13,,179.0,2,3786.0,2170.0,1445,162893.0,132.0,7170,2018-06-26 13:45:38,Benzin,Manual,Auto,,red
55,Kia,Golf V,  2012_year ,2012-05-22,,116.0,1,3683.0,2350.0,1498,139672.0,86.0,6627,2018-09-28 10:05:18,Diesel,Manual,Auto,Big,purple
56,Land Rover,A5,  2004_year ,2004-11-02,,186.0,2,3496.0,2021.0,1428,194206.0,137.0,2022,2018-06-22 13:27:30,Benzin,Auto_or_Hybrid,Auto,Big,purple
57,Porsche,Golf VI,  2009_year ,2009-06-05,,98.0,2,3624.0,2208.0,1490,51869.0,72.0,2495,2018-05-18 14:13:22,Benzin,Manual,Auto,,purple
58,Ford,6,  2007_year ,2007-10-22,,79.0,2,3614.0,2139.0,1480,195717.0,58.0,1849,2018-09-25 15:47:56,Diesel,Manual,Manual,,brown
59,Fiat,C-Klasse,  2004_year ,2004-10-05,,184.0,2,3786.0,2178.0,1406,96543.0,136.0,4289,2018-09-04 10:22:19,Benzin,Auto_or_Hybrid,Auto,Big,brown
60,Renault,Golf VII,  2010_year ,2012-06-20,,102.0,2,3761.0,1966.0,1510,82922.0,74.0,4494,2018-05-22 16:30:36,Benzin,Manual,Manual,,black
61,Peugeot,Golf IV,  2008_year ,2009-03-12,,154.0,2,3722.0,2098.0,1645,229187.0,113.0,3896,2018-06-17 15:52:00,Diesel,Manual,Auto,,red
62,Kia,A4,  2010_year ,2011-01-06,,110.0,2,3570.0,2287.0,1535,85779.0,81.0,6861,2018-10-05 12:00:43,Benzin,Manual,Auto,,white
63,Porsche,Golf Plus,  2010_year ,2010-12-29,,61.0,2,3762.0,2192.0,1488,63104.0,45.0,4666,2018-07-08 15:08:12,Benzin,Manual,Manual,Mobile,red
64,Citroen,207,  2009_year ,2009-02-18,,176.0,2,3777.0,2093.0,1468,149812.0,129.0,7573,2018-04-28 14:48:02,Diesel,Auto_or_Hybrid,Auto,,brown
65,Seat,Grande Punto,  2014_year ,2014-03-24,,187.0,2,4144.0,1917.0,1547,107923.0,138.0,15866,2018-07-07 16:18:23,Diesel,Auto_or_Hybrid,Auto,,brown
66,Peugeot,Golf IV,  2008_year ,2008-11-17,,154.0,2,3884.0,2055.0,1645,122850.0,114.0,5609,2018-04-25 15:37:46,Benzin,Auto_or_Hybrid,Auto,,red
67,Opel,Ibiza,  2009_year ,2009-07-30,,119.0,2,3502.0,2127.0,1423,166512.0,88.0,4930,2018-05-04 12:42:57,Benzin,Manual,Manual,,white
68,BMW,Insignia,  2004_year ,2004-10-06,,152.0,2,3690.0,2382.0,1498,209677.0,112.0,1050,2018-07-08 10:16:16,Diesel,Manual,Auto,Big,red
69,Dacia,Kuga,  2008_year ,2009-01-12,,159.0,2,3447.0,2415.0,1455,289279.0,117.0,3099,2018-08-01 11:02:22,Diesel,Manual,Auto,Big,red
70,Kia,E-Klasse,  2005_year ,2005-05-10,,89.0,2,3571.0,2179.0,1624,81675.0,66.0,3082,2018-06-15 12:55:47,Benzin,Auto_or_Hybrid,Manual,,silver
71,Land Rover,A5,  2008_year ,2008-10-30,1.0,258.0,2,3747.0,2094.0,1391,202658.0,190.0,5890,2018-08-28 13:19:48,Diesel,Auto_or_Hybrid,Auto,Big,red
72,Seat,Leon,  2003_year ,2002-12-30,1.0,240.0,1,3474.0,2371.0,1743,146091.0,176.0,1708,2018-09-25 10:43:14,Benzin,Auto_or_Hybrid,Manual,Big,red
73,Fiat,C5,  2013_year ,2013-06-27,,154.0,1,4107.0,1963.0,1456,78581.0,113.0,18413,2018-10-01 17:21:16,Diesel,Auto_or_Hybrid,Auto,Big,white
74,Land Rover,A5,  2005_year ,2005-04-05,1.0,219.0,2,3455.0,2220.0,1427,363933.0,160.0,3573,2018-06-01 16:11:44,Diesel,Manual,Auto,Big,brown
75,Citroen,M-Klasse,  2010_year ,2010-05-07,,99.0,1,3494.0,2090.0,1421,201925.0,73.0,2832,2018-08-29 14:41:43,Diesel,Manual,Auto,,red
76,Land Rover,Civic,  2011_year ,2011-12-14,,172.0,2,4007.0,2106.0,1461,93787.0,126.0,16844,2018-06-12 16:03:09,Diesel,Manual,Auto,Big,red
77,Dacia,307,  2009_year ,2009-04-20,,85.0,2,3713.0,2210.0,1498,110445.0,63.0,2758,2018-05-08 17:46:28,Benzin,Manual,Manual,,red
78,Skoda,MINI,  2007_year ,2007-02-22,,118.0,2,3777.0,2338.0,1615,133684.0,87.0,2851,2018-09-15 12:59:38,Benzin,Manual,Manual,,brown
79,Citroen,207,  2009_year ,2009-04-02,,308.0,2,3935.0,2186.0,1491,152416.0,226.0,9358,2018-07-23 18:47:58,Benzin,Auto_or_Hybrid,Auto,Big,brown
80,Fiat,C5,  2000_year ,2000-05-17,,179.0,1,3630.0,2110.0,1440,120103.0,131.0,1162,2018-08-25 09:26:09,Benzin,Auto_or_Hybrid,Manual,,purple
81,Citroen,M-Klasse,  2006_year ,2006-12-22,,114.0,1,3627.0,2271.0,1430,152816.0,85.0,4640,2018-08-22 14:00:16,Benzin,Manual,Auto,,red
82,BMW,5,  2009_year ,2009-05-04,,115.0,1,3485.0,2307.0,1635,182973.0,84.0,4196,2018-08-07 16:20:37,Diesel,Manual,Auto,Big,brown
83,Audi,1er,  2003_year ,2004-08-05,,114.0,2,3407.0,2184.0,1532,246767.0,84.0,74,2018-09-20 09:07:26,Benzin,Manual,Manual,,red
84,Kia,A4,  2006_year ,2006-02-09,,77.0,1,3611.0,2073.0,1460,150423.0,57.0,1918,2018-05-27 14:08:30,Benzin,Manual,Manual,,red
85,Land Rover,Clio,  2009_year ,2009-10-21,,218.0,2,3937.0,1858.0,1383,144719.0,160.0,10692,2018-07-10 15:30:14,Diesel,Auto_or_Hybrid,Auto,Big,purple
86,Citroen,500,  2006_year ,2006-03-20,,,2,3576.0,2192.0,1440,414327.0,105.0,2519,2018-06-23 17:52:43,Diesel,Manual,Auto,,brown
87,BMW,Megane,  2014_year ,2014-03-05,,241.0,2,4168.0,1901.0,1452,53343.0,177.0,19696,2018-08-18 16:33:36,Benzin,Auto_or_Hybrid,Auto,Big,red
88,Land Rover,C-Max,  2000_year ,2000-11-10,,140.0,2,3567.0,2268.0,1427,161013.0,103.0,786,2018-06-14 17:30:18,Benzin,Auto_or_Hybrid,Auto,,red
89,Citroen,M-Klasse,  2007_year ,2007-11-28,,127.0,2,3466.0,2067.0,1421,216231.0,93.0,2789,2018-07-02 14:01:47,Benzin,Manual,Auto,Big,red
90,Citroen,207,  2007_year ,2007-04-23,,160.0,2,3572.0,2322.0,1491,166615.0,118.0,4314,2018-09-27 14:30:33,Diesel,Auto_or_Hybrid,Auto,Big,brown
91,Hyundai,Meriva,  2006_year ,2006-10-05,,91.0,2,3754.0,2092.0,1530,,67.0,3446,2018-10-14 11:22:16,Benzin,Auto_or_Hybrid,Manual,,brown
92,Audi,Avensis,  2005_year ,2005-10-24,,111.0,2,3642.0,2118.0,1427,202589.0,82.0,870,2018-04-13 09:47:18,Diesel,Manual,Auto,,brown
93,BMW,CR-V,  2007_year ,2007-07-06,,100.0,1,3752.0,2203.0,1485,232965.0,74.0,2510,2018-06-08 10:04:25,Benzin,Manual,Manual,,purple
94,BMW,Insignia,  2007_year ,2007-01-31,,144.0,2,3514.0,2184.0,1472,189288.0,106.0,4430,2018-08-24 15:48:53,Diesel,Manual,Auto,Big,red
95,Citroen,M-Klasse,  2007_year ,2007-02-13,,146.0,1,3883.0,2034.0,1430,81391.0,106.0,5648,2018-05-13 11:37:57,Benzin,Auto_or_Hybrid,Auto,,gray
96,Citroen,B-Klasse,  2007_year ,2006-12-29,1.0,227.0,2,3665.0,2018.0,1766,304204.0,167.0,8298,2018-04-22 10:04:39,Diesel,Auto_or_Hybrid,Auto,Big,red
97,Citroen,207,  2012_year ,2012-04-03,1.0,224.0,2,3778.0,1877.0,1559,175526.0,165.0,14659,2018-09-01 12:17:50,Diesel,Auto_or_Hybrid,Auto,Big,purple
98,Fiat,C5,  2009_year ,2009-11-23,,133.0,2,3975.0,2200.0,1464,167594.0,98.0,6980,2018-06-16 17:27:48,Diesel,Manual,Auto,Big,brown
99,Fiat,C-Klasse,  2003_year ,2003-05-12,,124.0,2,3502.0,2350.0,1406,205730.0,91.0,1198,2018-09-28 19:42:05,Benzin,Manual,Auto,,silver
100,Kia,A4,  2004_year ,2004-12-15,,115.0,2,3661.0,2200.0,1460,172084.0,84.0,1747,2018-07-20 11:48:05,Benzin,Manual,Manual,,red
101,Citroen,500,  2001_year ,2001-05-28,,187.0,2,3483.0,2313.0,1415,155825.0,137.0,2205,2018-08-23 15:57:09,Benzin,Manual,Auto,,purple
102,Fiat,C5,  2003_year ,2003-04-15,,167.0,2,3679.0,2290.0,1450,158963.0,123.0,3570,2018-06-27 19:25:30,??,Auto_or_Hybrid,Auto,,silver
103,Peugeot,Golf IV,  2011_year ,2011-12-08,1.0,143.0,2,3908.0,1972.0,1615,146453.0,105.0,7590,2018-07-17 12:35:59,Diesel,Auto_or_Hybrid,Auto,Big,gray
104,BMW,Mondeo,  2007_year ,2007-02-15,,153.0,2,3553.0,2412.0,1730,269455.0,112.0,3198,2018-09-04 08:34:39,Diesel,Manual,Auto,Big,red
105,Honda,911,  2008_year ,2009-03-03,,112.0,2,3648.0,2369.0,1527,198279.0,81.0,1485,2018-07-10 18:46:00,Diesel,Manual,Manual,,brown
106,Fiat,Octavia,  2004_year ,2004-02-10,,137.0,2,3478.0,2092.0,1589,104794.0,101.0,1722,2018-09-11 10:27:52,Benzin,Auto_or_Hybrid,Manual,,silver
107,Land Rover,A5,  2005_year ,2005-12-09,,208.0,2,3726.0,2033.0,1427,154818.0,153.0,5419,2018-08-19 09:01:09,Benzin,Auto_or_Hybrid,Auto,Mobile,red
108,Audi,Passat,  2009_year ,2009-03-10,,89.0,2,3588.0,2025.0,1481,71945.0,65.0,3354,2018-06-07 09:26:28,Benzin,Manual,Manual,,red
109,Dacia,307,  2008_year ,2008-02-29,,72.0,2,3536.0,2034.0,1498,87947.0,,2962,2018-05-31 10:43:15,Benzin,Manual,Manual,,purple
110,BMW,5,  2008_year ,2008-05-14,,102.0,2,3595.0,2287.0,1635,174158.0,75.0,3968,2018-09-27 12:33:37,Diesel,Manual,Auto,Big,silver
111,Land Rover,A5,  2005_year ,2005-07-12,,148.0,2,3583.0,2144.0,1428,119460.0,109.0,4888,2018-09-11 16:59:37,Benzin,Manual,Auto,,red
112,Citroen,207,  2006_year ,2006-05-22,,233.0,2,3753.0,2338.0,1491,363900.0,172.0,2794,2018-06-09 09:27:28,Diesel,Auto_or_Hybrid,Auto,Big,red
113,Fiat,Octavia,  2001_year ,2001-02-12,,62.0,2,3511.0,2361.0,1575,161896.0,45.0,337,2018-04-28 14:37:16,Diesel,Manual,Manual,,brown
114,Dacia,Kuga,  2007_year ,2007-03-13,,183.0,2,3651.0,2175.0,1451,95108.0,135.0,7604,2018-07-11 16:23:21,Benzin,Manual,Auto,,purple
115,Dacia,Kuga,  2007_year ,2008-01-23,,109.0,2,3619.0,2276.0,1455,220698.0,80.0,3929,2018-08-22 10:14:24,Diesel,Manual,Auto,,purple
116,Fiat,C-Klasse,  2007_year ,2007-12-03,,138.0,2,3658.0,1937.0,1447,105124.0,102.0,7255,2018-05-19 17:34:42,Diesel,Auto_or_Hybrid,Auto,,brown
117,Land Rover,A5,  2006_year ,2006-07-11,,127.0,2,3718.0,2117.0,1427,168797.0,93.0,2731,2018-06-30 15:27:47,Diesel,Auto_or_Hybrid,Auto,,brown
118,Citroen,500,  2006_year ,2006-11-09,,113.0,2,3852.0,2230.0,1420,155390.0,82.0,5612,2018-06-07 16:17:59,Benzin,Auto_or_Hybrid,Auto,Big,purple
119,Land Rover,A5,  2001_year ,2001-07-10,,134.0,2,3546.0,2018.0,1428,256655.0,99.0,1016,2018-06-08 11:45:47,Benzin,Auto_or_Hybrid,Auto,,red
120,Citroen,M-Klasse,  2011_year ,2011-10-26,,200.0,2,3943.0,1902.0,1421,143577.0,146.0,10414,2018-05-11 12:27:24,Diesel,Manual,Auto,,white
121,Dacia,307,  2013_year ,2013-05-02,,86.0,2,3765.0,2284.0,1498,24711.0,63.0,8131,2018-04-19 13:14:17,Benzin,Manual,Manual,,purple
122,BMW,Polo,  2010_year ,2010-04-29,,96.0,2,3564.0,2242.0,1621,125574.0,71.0,4900,2018-05-22 09:21:26,Benzin,Auto_or_Hybrid,Manual,,brown
123,Citroen,500,  2008_year ,2008-10-24,,229.0,2,3835.0,2022.0,1421,189670.0,168.0,6604,2018-08-29 09:23:27,Benzin,Auto_or_Hybrid,Auto,Big,brown
124,Seat,Grande Punto,  2005_year ,2005-09-13,,109.0,2,3650.0,2272.0,1488,149912.0,81.0,3299,2018-09-21 15:46:04,Diesel,Manual,Auto,Big,red
125,Smart,Punto,  2014_year ,2014-09-23,,167.0,2,4007.0,2140.0,1414,60266.0,123.0,13831,2018-10-22 10:35:03,Diesel,Manual,Manual,Big,yellow
126,Citroen,Fabia,  2011_year ,2011-06-22,1.0,129.0,2,3972.0,2007.0,1545,138052.0,94.0,11159,2018-07-08 12:28:48,Diesel,Manual,Auto,,red
127,Citroen,500,  2011_year ,2011-08-03,,186.0,2,3831.0,1879.0,1418,156419.0,136.0,12572,2018-07-11 15:14:06,Diesel,Manual,Auto,Big,white
128,Kia,A4,  2002_year ,2002-08-29,,134.0,2,3698.0,2439.0,1390,144655.0,98.0,454,2018-06-23 13:27:01,Benzin,Manual,Manual,,silver
129,Land Rover,Civic,  2002_year ,2003-04-15,1.0,164.0,1,3681.0,2154.0,1453,134216.0,121.0,1797,2018-04-24 11:23:45,Benzin,Manual,Auto,,purple
130,Opel,Focus,  2016_year ,2017-01-31,,190.0,2,3988.0,1842.0,1448,53456.0,140.0,15297,2018-07-30 13:23:36,Benzin,Auto_or_Hybrid,Manual,Big,red
131,Fiat,5er,  2008_year ,2008-03-28,,131.0,2,3839.0,2097.0,1603,70285.0,97.0,8088,2018-08-01 14:29:45,Benzin,Auto_or_Hybrid,Auto,,brown
132,BMW,Q5,  2011_year ,2011-06-14,,105.0,2,3658.0,2260.0,1480,89843.0,77.0,5418,2018-06-11 12:44:11,Diesel,Manual,Auto,Big,red
133,BMW,Insignia,  2009_year ,2009-09-24,,169.0,2,3978.0,1986.0,1517,80573.0,124.0,8335,2018-06-16 10:19:09,Diesel,Manual,Auto,Big,brown
134,Suzuki,Q7,  2009_year ,2009-10-05,,135.0,2,3743.0,2068.0,1495,274440.0,99.0,5848,2018-09-21 15:51:24,Benzin,Auto_or_Hybrid,Auto,Big,red
135,Citroen,207,  2007_year ,2008-03-25,,195.0,2,3560.0,2030.0,1491,141638.0,143.0,6179,2018-05-08 10:19:48,Diesel,Auto_or_Hybrid,Auto,Big,brown
136,Land Rover,Civic,  2005_year ,2005-10-20,,158.0,2,3574.0,2410.0,1463,188014.0,116.0,3449,2018-09-04 14:21:38,Benzin,Manual,Auto,,red
137,Kia,A4,  2005_year ,2005-07-19,,125.0,2,3627.0,2093.0,1500,242090.0,92.0,1648,2018-07-13 09:57:36,Benzin,Manual,Manual,Big,brown
138,Citroen,207,  2007_year ,2007-11-15,1.0,171.0,2,3565.0,2172.0,1491,151783.0,126.0,6289,2018-08-18 16:24:35,Diesel,Auto_or_Hybrid,Auto,Big,red
139,Seat,Leon,  2008_year ,2008-05-27,1.0,142.0,2,3595.0,2295.0,1743,151201.0,105.0,9769,2018-07-06 14:56:08,Diesel,Auto_or_Hybrid,Auto,Big,brown
140,Citroen,Qashqai,  2005_year ,2005-12-14,1.0,153.0,2,3647.0,2024.0,1674,153816.0,112.0,5206,2018-04-15 16:08:17,Diesel,Manual,Auto,,brown
141,Dacia,307,  2007_year ,2007-12-14,,87.0,2,3579.0,2400.0,1498,90815.0,64.0,3152,2018-07-15 18:39:27,Benzin,Manual,Manual,,black
142,Audi,RAV 4,  2011_year ,2011-01-01,1.0,156.0,1,3692.0,2341.0,1677,170657.0,115.0,6102,2018-10-02 09:37:17,Diesel,Manual,Front,,brown
143,BMW,CR-V,  2006_year ,2006-10-19,,107.0,2,3536.0,2373.0,1479,231455.0,78.0,2667,2018-08-05 12:29:22,Diesel,Manual,Auto,Big,silver
144,Citroen,500,  2010_year ,2010-07-07,,211.0,2,3586.0,2029.0,1418,188155.0,154.0,5451,2018-08-06 14:51:27,Diesel,Manual,Auto,Big,brown
145,Citroen,207,  2011_year ,2011-09-12,,160.0,1,3925.0,2128.0,1462,159947.0,117.0,8881,2018-05-23 18:18:13,Diesel,Auto_or_Hybrid,Auto,Big,red
146,Land Rover,Civic,  2004_year ,2004-04-13,,143.0,2,3576.0,2352.0,1453,269460.0,106.0,1159,2018-10-21 10:22:54,Diesel,Manual,Auto,Big,purple
147,Citroen,500,  2005_year ,2006-01-19,,112.0,2,3544.0,2397.0,1420,130780.0,82.0,4004,2018-09-25 14:29:05,Benzin,Manual,Manual,,purple
148,Fiat,Octavia,  2008_year ,2008-04-14,,104.0,2,3591.0,2043.0,1593,79458.0,77.0,3378,2018-04-19 09:29:48,Benzin,Manual,Manual,,purple
149,Fiat,Corsa,  2006_year ,2006-11-17,1.0,516.0,3,3952.0,2147.0,1815,206334.0,380.0,11974,2018-08-29 10:39:57,Benzin,Auto_or_Hybrid,??,Big,red
150,Toyota,S 60,  2011_year ,2011-05-03,,130.0,2,3570.0,2072.0,1458,121907.0,96.0,7699,2018-06-01 17:31:06,Benzin,Manual,Auto,Big,white
151,Audi,Sharan,  2008_year ,2008-07-24,,108.0,2,3501.0,2057.0,1596,203070.0,79.0,2797,2018-09-03 12:20:52,Benzin,Manual,Auto,,red
152,Toyota,S 60,  2011_year ,2011-12-29,,142.0,2,3567.0,2109.0,1458,72710.0,104.0,5587,2018-07-09 18:57:46,Benzin,Manual,Auto,Big,purple
